combination,emd,System,Tiempo
"(['D']); (['CN', 'DN', 'EN', 'FN'])",0.07812,"('D', 'CDEF')",00:00.011579
"(['E']); (['AN', 'BN', 'CN', 'DN'])",0.07812,"('E', 'ABCD')",00:00.010647
"(['E']); (['AN', 'BN', 'CN', 'EN'])",0.07812,"('E', 'ABCE')",00:00.010240
"(['E']); (['AN', 'BN', 'CN', 'FN'])",0.07812,"('E', 'ABCF')",00:00.009594
"(['E']); (['AN', 'BN', 'DN', 'EN'])",0.07812,"('E', 'ABDE')",00:00.009279
"(['E']); (['AN', 'BN', 'DN', 'FN'])",0.07812,"('E', 'ABDF')",00:00.009230
"(['E']); (['AN', 'BN', 'EN', 'FN'])",0.07812,"('E', 'ABEF')",00:00.009602
"(['E']); (['AN', 'CN', 'DN', 'EN'])",0.07812,"('E', 'ACDE')",00:00.011219
"(['E']); (['AN', 'CN', 'DN', 'FN'])",0.07812,"('E', 'ACDF')",00:00.009622
"(['E']); (['AN', 'CN', 'EN', 'FN'])",0.07812,"('E', 'ACEF')",00:00.008592
"(['E']); (['AN', 'DN', 'EN', 'FN'])",0.07812,"('E', 'ADEF')",00:00.010631
"(['E']); (['BN', 'CN', 'DN', 'EN'])",0.07812,"('E', 'BCDE')",00:00.009502
"(['E']); (['BN', 'CN', 'DN', 'FN'])",0.07812,"('E', 'BCDF')",00:00.009976
"(['E']); (['BN', 'CN', 'EN', 'FN'])",0.07812,"('E', 'BCEF')",00:00.009564
"(['E']); (['BN', 'DN', 'EN', 'FN'])",0.07812,"('E', 'BDEF')",00:00.010118
"(['E']); (['CN', 'DN', 'EN', 'FN'])",0.07812,"('E', 'CDEF')",00:00.013049
"(['F']); (['AN', 'BN', 'CN', 'DN'])",0.07812,"('F', 'ABCD')",00:00.014885
"(['F']); (['AN', 'BN', 'CN', 'EN'])",0.07812,"('F', 'ABCE')",00:00.010524
"(['F']); (['AN', 'BN', 'CN', 'FN'])",0.07812,"('F', 'ABCF')",00:00.011276
"(['F']); (['AN', 'BN', 'DN', 'EN'])",0.07812,"('F', 'ABDE')",00:00.007008
"(['F']); (['AN', 'BN', 'DN', 'FN'])",0.07812,"('F', 'ABDF')",00:00.005585
"(['F']); (['AN', 'BN', 'EN', 'FN'])",0.07812,"('F', 'ABEF')",00:00.009485
"(['F']); (['AN', 'CN', 'DN', 'EN'])",0.07812,"('F', 'ACDE')",00:00.012615
"(['F']); (['AN', 'CN', 'DN', 'FN'])",0.07812,"('F', 'ACDF')",00:00.010261
"(['F']); (['AN', 'CN', 'EN', 'FN'])",0.07812,"('F', 'ACEF')",00:00.009515
"(['F']); (['AN', 'DN', 'EN', 'FN'])",0.07812,"('F', 'ADEF')",00:00.010563
"(['F']); (['BN', 'CN', 'DN', 'EN'])",0.07812,"('F', 'BCDE')",00:00.008582
"(['F']); (['BN', 'CN', 'DN', 'FN'])",0.07812,"('F', 'BCDF')",00:00.007949
"(['F']); (['BN', 'CN', 'EN', 'FN'])",0.07812,"('F', 'BCEF')",00:00.008903
"(['F']); (['BN', 'DN', 'EN', 'FN'])",0.07812,"('F', 'BDEF')",00:00.009756
"(['F']); (['CN', 'DN', 'EN', 'FN'])",0.07812,"('F', 'CDEF')",00:00.009851
"(['A']); (['AN', 'BN', 'CN', 'DN', 'EN'])",0.05078,"('A', 'ABCDE')",00:00.019913
"(['A']); (['AN', 'BN', 'CN', 'DN', 'FN'])",0.05078,"('A', 'ABCDF')",00:00.013076
